Country ,1820 to 1829,1830 to 1839,1840 to 1849,1850 to 1859,1860 to 1869,1870 to 1879,1880 to 1889,1890 to 1899,1900 to 1909,1910 to 1919,1920 to 1929,1930 to 1939,1940 to 1949,1950 to 1959,1960 to 1969,1970 to 1979,1980 to 1989,1990 to 1999,2000 to 2009,2010,2011,2012,2013,,,
CostaRica,,,,,2,4,1,4,,,,580,"1,965","4,044","17,975"," 12,405 "," 25,017 "," 17,054 "," 21,571 "," 2,306 ","2,230"," 2,152 ","2,232",,,
El Salvador,,,,,,3,,7,,,,712,"4,885","5,094","14,405"," 29,428 "," 137,418 "," 273,017 "," 251,237 "," 18,547 ","18,477"," 15,874 ","18,015",,,
Guatemala,,,,,1,10,3,9,,,,632,"1,303","4,197","14,357"," 23,837 "," 58,847 "," 126,043 "," 156,992 "," 10,263 ","10,795"," 9,857 ","9,829",,,
Honduras,,,,,,11,4,4,,,,809,"1,874","5,320","15,087"," 15,653 "," 39,071 "," 72,880 "," 63,513 "," 6,381 ","6,053"," 6,773 ","8,795",,,
Nicaragua,,,,,,1,1,3,,,,564,"4,393","7,812","10,383"," 10,911 "," 31,102 "," 80,446 "," 70,015 "," 3,476 ","3,314"," 2,943 ","2,940",,,
Panama,,,,,,,,,,,,"1,774","5,282","12,601","22,177"," 21,395 "," 32,957 "," 28,149 "," 18,120 "," 1,627 ","1,447"," 1,363 ","1,276",,,
Other Central America,57,94,297,512,58,147,270,622,"6,758","15,652","16,226","1,576",,,,,,,,,-, - ,,,,
Argentina,,,,,7,58,64,36,,,,"1,397","3,108","16,346","49,384"," 30,303 "," 23,442 "," 30,065 "," 47,955 "," 4,312 ","4,335"," 4,218 ","4,227",,,
Bolivia,,,,,,5,,,,,,77,893,"2,759","6,205"," 5,635 "," 9,798 "," 18,111 "," 21,921 "," 2,211 ","2,113"," 1,920 ","2,005",,,
Brazil,,,,,32,219,199,92,,,"4,627","1,468","3,653","11,547","29,238"," 18,600 "," 22,944 "," 50,744 "," 115,404 "," 12,057 ","11,643"," 11,248 ","10,772",,,
Chile,,,,,25,92,44,66,,,,568,"1,320","4,669","12,384"," 15,032 "," 19,749 "," 18,200 "," 19,792 "," 1,940 ","1,854"," 1,628 ","1,751",,,
Colombia,,,,,2,196,"1,210",607,,,,"1,278","3,454","15,567","68,371"," 71,265 "," 105,494 "," 137,985 "," 236,570 "," 21,861 ","22,130"," 20,272 ","20,611",,,
Ecuador,,,,,,7,14,33,,,,320,"2,207","8,574","34,107"," 47,464 "," 48,015 "," 81,358 "," 107,977 "," 11,463 ","11,068"," 9,284 ","10,553",,,
Guyana,,,,,41,95,68,27,,,,193,596,"1,131","4,546"," 38,278 "," 85,886 "," 74,407 "," 70,373 "," 6,441 ","6,288"," 5,282 ","5,564",,,
Paraguay,,,,,,2,,,,,,36,85,576,"1,249"," 1,486 "," 3,518 "," 6,082 "," 4,623 ", 449 ,501, 454 ,437,,,
Peru,,,,,35,127,25,79,,,,460,"1,273","5,980","19,783"," 25,311 "," 49,958 "," 110,117 "," 137,614 "," 14,063 ","13,836"," 12,414 ","12,370",,,
Suriname,,,,,,,,,,,,33,130,299,612, 714 ," 1,357 "," 2,285 "," 2,363 ", 202 ,167, 216 ,170,,,
